,ERR9954784,SRR10754133,SRR2973693,SRR4436359,GSM697598,GSM896836
DDX43,1.749688972,0.368190346,0.33652412,0.833155684,9.663986454,-0.369365654
DDX46,2.13080643,3.637228998,2.953116455,2.647368471,7.063947524,4.142196691
DDX47,0,0.210556121,0.399963966,0.629162403,11.26825157,4.58979861
DDX49,3.701088519,3.671067556,2.323240332,4.398908487,8.40233875,0.642843409
DDX5,4.201399276,7.497638326,6.135194099,6.207915817,12.76895351,-0.286975261
DDX50,3.405430639,3.286419225,3.708112,4.707964537,10.15897899,3.413850485
DDX51,1.888846254,3.2261059,1.216854956,2.539280626,9.536750064,2.142900299
DDX54,3.945047685,3.651973925,2.671054487,4.079896814,8.368660546,3.237147155
DDX55,2.190863389,2.873252322,1.821804738,2.410403413,7.958642313,4.208127583
DDX56,3.050614409,3.905404291,3.285174091,5.225774658,6.74508048,4.632166292
DDX59,1.148125213,1.97569279,2.02969559,2.98199519,6.813776832,1.619115015
DDX6,1.320458185,3.292483844,4.452854938,4.770221013,7.46118715,0.208084574
DDX60,0.086614875,2.797768609,4.452635892,5.713180809,4.193388419,0.469748992
DEAF1,2.349709232,1.956338062,2.308434717,2.669956773,11.20628137,-0.147134771
DECR1,4.252714759,3.913355298,3.889665794,5.03803653,12.09956108,4.817488651
DECR2,2.399441521,2.790554005,1.080154454,1.726304777,11.06898825,3.895508831
DEDD,1.872585558,3.836749017,3.073831104,4.294504511,8.590418316,0.71310294
DEDD2,4.670377218,4.42415945,2.438279529,3.926823927,9.839038363,5.192790219
DEF6,0,0.143025626,0.398170107,3.855284485,7.786700528,-0.005547282
DEF8,3.662916618,3.743618642,2.665115656,4.5206523,10.79098207,3.740121703
DEFB1,6.532010958,3.616284216,0,4.451061479,8.493501599,0.26052747
DEGS1,5.515194997,5.968675183,5.797979729,5.889136499,9.587696421,5.364746604
DEK,2.964820211,4.534673552,4.739667432,3.765864626,11.02189152,5.846796516
DELE1,2.709838342,3.312012313,2.963183154,3.629431061,8.190713363,2.727681612
DENND10,2.441884256,2.521490375,2.665942817,3.073039288,12.28089899,5.035715659
DENND11,1.114097943,2.882962078,2.021142753,3.713416213,2.361596934,3.877109128
DENND1A,1.294472181,1.505245338,2.134956445,1.890556051,6.002193675,0.656413995
DENND1B,0.112699623,0.955859048,1.210631443,1.767468956,6.024846556,0.013712517
DENND2B,0.202177138,1.299986863,2.056981911,2.478962878,6.573663025,0.436224101
DENND2C,0,0.997915129,0.992404083,3.575563167,6.741826173,0.149087065
DENND2D,0.214947629,0.211817248,0.82947338,3.255940561,2.835297655,0.601216996
DENND3,0.962832135,1.529325251,2.842651094,2.327356706,9.500366824,1.458856262
DENND4A,0.489471628,1.861613213,2.399912185,2.164689978,3.805570209,0.537733327
DENND4C,1.655249677,3.706672817,3.343681359,3.831432859,8.450622559,0.06301805
DENND5A,1.502176347,2.541810915,3.929611462,3.098082483,8.877905931,4.215043376
DENND5B,0.732776462,2.708739834,1.451277999,1.260807646,5.024462014,4.305381726
DENND6A,1.897787631,2.344031173,2.076510924,3.836191492,10.0784081,-0.302483789
DENND6B,0.629160634,0.53448086,0.790238375,0.364225728,6.799416793,1.992466267
DENR,4.244123433,4.101947235,3.806241854,4.717350634,9.827888439,2.874784181
DEPDC1,1.58432098,1.880794454,0.932873836,2.694373952,10.1151112,-0.172124993
DEPDC1B,1.268597956,2.406084786,0.129629352,3.352390869,7.194045289,2.842587167
DEPDC4,0.296652221,0.292447481,0.383591623,0.641255538,6.701829812,0.019366412
DEPDC5,0.16308461,0.122147147,0.603068765,0.796608869,2.309759179,0.127456229
DEPDC7,0.720189259,3.421994764,2.008327201,1.938947197,10.38971827,0.159260761
DEPP1,0.443713016,0.235397262,4.606541308,5.742239527,7.359038473,0.161463484
DEPTOR,0.494007184,0.851130806,1.32092416,0.308435309,4.856300986,0.643283016
DERA,3.680533966,3.072746801,3.010702406,5.09644537,11.67429847,6.106505362
DERL1,2.932301354,4.843582393,3.573892341,4.009863846,11.08603339,4.297720919
DERL2,4.36899423,5.568170454,2.692775173,3.402545837,11.17863483,3.006836009
DERL3,0,0.096994533,0.066440742,0.22027839,5.287077377,-0.071065098
DESI1,2.915027382,2.853059565,2.936549811,4.986612464,5.940113953,0.128953489
DESI2,4.130687646,4.65690713,4.331807667,4.144219032,9.593368401,4.114746807
DET1,0.209638896,0.299742449,0.273416968,0.208141281,6.026613678,2.354034522
DEXI,0,0.161363647,0.9528559,1.02097427,10.5497196,4.664712254
DFFA,2.137627885,1.981365585,2.86633224,4.170986204,9.641102581,1.457727053
DFFB,0,0.563151198,0.678951807,1.869313776,3.926802786,1.816590655
DGAT1,3.092668256,3.188360498,1.776212023,3.027619889,9.962853727,2.484522618
DGAT2,0.183608455,0.09328691,0.397132774,0.987226588,3.338331332,-0.201712932
DGCR2,0.968605421,2.743920147,3.474867141,4.840479224,9.554025771,2.079063679
DGCR8,0.197146984,2.225111969,2.682886332,2.678511804,8.877386114,2.986091413
DGKA,0.614628766,0.956892489,3.207641695,4.686410152,4.909403632,0.024828313
DGKD,1.278191667,3.667880598,0.880596214,1.813616565,9.503524688,0.003761632
DGKE,0.258678559,2.532156621,1.316262075,1.158532947,5.029510073,-0.142892034
DGKH,0.076337296,0.513891351,2.109950758,2.624546614,2.717317895,0.233475697
DGKQ,0.516579388,1.149568604,2.198596802,3.150415154,8.759148405,3.231010537
DGKZ,2.286422004,2.904045655,1.580261193,3.281678589,9.821312644,-0.22045552
DGLUCY,0.375720264,2.276014457,3.613229701,3.436773576,6.385061989,2.3403186
DGUOK,6.640898231,6.821783428,4.19670775,5.768037223,11.47141676,3.561923944
DHCR24,2.154664581,4.165948914,5.316101447,7.293706687,5.332408592,2.425234343
DHCR7,2.337749117,4.636511995,2.602221844,4.765140968,11.56040108,3.832824562
DHDDS,1.321394713,0.82756828,3.12105804,3.489192463,5.647102405,1.244043136
DHDH,4.403558238,2.450463751,0.22421901,2.556966401,9.733176189,0.85667119
DHFR,3.718067089,4.858399904,1.985795761,2.402494953,12.87386651,1.947239737
DHFR2,1.44649598,1.614655964,1.334013087,1.431798301,7.964122845,1.571855253
DHODH,2.035607343,1.400611399,0.889894846,1.231485931,8.645290026,0.809161693
DHRS1,1.059212247,1.765684029,2.707290296,4.523752556,9.00194139,3.556405135
DHRS11,1.675246728,2.032754344,0.974193262,1.050323,9.491347912,2.75441871
DHRS12,0,1.033279158,1.390310667,1.152920031,7.040767207,0.026740423
DHRS13,0.447202403,0.701310883,0.165056529,0.552541111,4.22804292,0.33390066
DHRS2,0.192217855,0.470708323,0.067001376,0.735982629,5.081803145,0.233087216
DHRS3,2.698973814,4.836056674,0.859465306,6.400825882,11.04372523,3.674346976
DHRS4,2.993240737,3.726672385,1.901914238,3.52468321,7.875326676,2.351005479
DHRS7,3.489982955,4.843314654,4.108035602,5.465049457,7.984205449,5.822850274
DHRS7B,2.088600366,2.397770241,2.101528532,3.058377922,8.290850805,2.404917288
DHRSX,3.213989554,4.031488942,3.018101592,4.056348444,9.850879925,1.717135135
DHTKD1,2.151894255,3.289035335,2.421860382,4.183583493,7.226020671,1.738151637
DHX15,2.5830199,4.828510523,4.999044818,5.482972411,11.16650127,5.856768577
DHX16,2.676879642,3.206467204,3.185442945,4.584230191,10.25723347,3.922675971
DHX29,2.101182614,4.242063772,3.388988103,3.683129917,8.753033766,3.482511833
DHX30,2.581810414,3.311985902,2.745522256,4.323832765,10.10637389,2.509311688
DHX32,1.671960798,2.911493984,3.003511489,4.997029747,5.893092531,4.08060727
DHX33,2.672173078,5.39997382,1.449244564,2.732561407,10.15006887,4.048749897
DHX34,3.163086487,2.973378933,1.869557091,2.87736783,6.839717298,2.285888836
DHX35,0.515275642,1.34012229,1.442643451,2.11106214,8.901003014,1.315904404
DHX36,0.937313575,3.35141129,2.885949373,2.340551007,9.88800766,3.83584052
DHX37,2.091217776,2.622684316,1.874809797,3.02875068,7.445776256,1.999424051
DHX38,2.931728292,4.694458959,3.11829335,4.193528243,9.923558178,2.142420627
DHX40,2.561730831,4.644013871,3.120058123,3.719362724,3.052040831,2.537603775
DHX57,1.385227144,2.253643823,2.203904731,2.964738121,6.963559585,-0.321685987
DHX58,2.784731362,5.307060888,5.112352142,5.758544091,13.11952953,-0.442721085
DHX8,2.03231391,2.976273353,2.807834783,4.311874503,9.545785192,1.743594371
DHX9,3.617847387,6.933698341,4.836580412,5.938402337,11.1840882,0.338836644
DIABLO,1.43051029,1.265059039,0.670126307,0.939362322,10.9401317,2.482520189
DIAPH1,1.968447438,3.935779302,3.361847677,5.300154372,11.84218113,2.741594652
DIAPH2,0.154735889,1.324526986,3.090005684,2.351643197,4.956380862,-0.289604688
DIAPH3,0.195723638,0.921357093,1.494370221,2.557112962,4.951024911,1.704993585
DICER1,0.521911166,2.816024402,2.229905069,2.388875977,9.51289676,0.07938161
DIDO1,1.341669964,4.202383183,2.574468672,2.962198305,7.973996052,0.508598444
DIMT1,1.562576431,1.31643076,0.971771185,2.190301301,9.648794961,5.531227606
DIO2,0.195476048,1.42129134,3.953770438,0.012168067,6.081541936,-0.424445573
DIO3,0,0.171216221,0,0,6.243166668,-0.123806293
DIP2A,0.209071495,1.052774231,1.647369568,2.712091882,3.05288247,0.088403142
DIP2B,1.025994324,3.418362653,3.307606983,4.822180278,6.387352011,2.498900208
DIP2C,0.170278947,1.413997357,2.652120655,0.206100025,7.357699046,0.648909366
DIPK1A,3.826598109,4.797895874,2.846618017,4.145089077,5.355339919,1.084109178
DIPK1B,2.1624552,1.558022819,0.610817458,0.886499429,6.970409236,-0.026340296
DIPK2A,0.258656884,2.352590574,3.457902048,2.370793072,8.233790115,2.40700668
DIRAS1,0,0.620432247,0.652830093,0.026032669,3.58600271,-0.390983289
DIRAS3,0,0.48431354,1.862328364,0.033731384,4.026380467,-0.015582974
DIS3,0.481327062,2.116992126,2.750523862,3.058986701,6.119813497,0.380214108
DIS3L,2.186536981,3.140541616,2.61686745,2.125517826,7.785894898,4.897155411
DIS3L2,0.130433815,1.066543026,1.126677998,2.393135486,4.844741909,1.155084585
DISC1,0,0.385402138,1.334509666,0.295836871,3.103161087,-0.186457927
DISP1,1.049818136,1.433933844,1.389664215,0.603136079,6.877253997,1.369233903
DISP2,0,0.029560999,0.020099823,0.28221473,5.652802174,0.368008507
DKC1,3.284966243,4.939043657,1.762312744,3.077402179,11.86686835,6.498656808
DKK1,2.13125576,6.209049621,5.486079873,6.099721973,8.844891274,3.812791345
DKK3,1.173718611,2.505921864,6.720743971,5.801247346,8.227943417,0.135061456
DKK4,0,1.123339135,0,0.274600569,5.090175494,-0.407674148
DKKL1,0.855682091,1.375108331,0.744261765,0.360144088,2.647602861,0.188783989
DLAT,1.435636682,2.60996352,2.231616807,3.571647698,7.964912911,3.749310928
DLC1,0,1.094130687,2.724086441,1.199751022,12.41449643,0.195555779
DLD,2.596029478,3.464388541,3.61129899,4.032641026,7.842666279,4.752336755
DLEC1,0,0.325713496,0.471156884,0.182920566,2.537067717,-0.265080362
DLG1,0.720805679,1.070712613,2.554523488,3.302703927,9.635647529,0.600173824
DLG3,0,1.119075637,2.610324883,3.165947453,10.39551947,-0.156149172
DLG4,1.416465491,1.536010161,1.47237953,1.496172742,6.390017907,1.306981016
DLG5,0.595339384,2.446266536,2.719989866,3.470473225,5.714966939,0.347019161
DLGAP4,0.45030682,2.033900231,2.295742993,2.644601144,7.46355941,-0.176419657
DLGAP5,2.601681189,2.129599409,1.672856291,4.211815029,8.926996065,4.581299661
DLK1,0,0,0,0,2.017984198,-0.380632008
DLK2,0.565361178,0.772619276,0.310380666,1.708570996,3.162423011,0.108777605
DLL3,3.900303772,1.972401359,0,0.800304212,3.592489519,0.968425297
DLST,3.134832745,4.357754406,4.114781237,5.455762211,2.148025507,2.792704725
DLX1,0.379052014,2.820389205,0,0.097827106,6.05430611,0.536883011
DLX4,1.61492608,1.7156688,0.060747794,0,6.10894455,0.080124489
DMAC1,4.873456506,4.989706118,3.221696747,5.013868521,11.9314624,1.556203619
DMAC2,5.004385626,4.350689105,1.96325661,4.388114685,10.41821606,5.661918983
DMAC2L,1.744348582,1.703007987,1.621790352,1.426298611,9.715590082,2.800067356
DMAP1,0.969361227,1.091915009,2.347668425,2.817714367,8.164570964,2.910966358
DMBT1,0,0.116997215,0.05403799,0.214501071,2.333845041,-0.034768607
DMD,0,0,0.434095721,0.786372047,2.801832731,-0.049164404
DMKN,3.226239433,1.740084468,1.423497842,4.889186936,14.55101729,1.201677126
DMPK,1.939560219,3.604774381,2.811353298,1.105165616,10.54390205,0.461425957
DMRTA1,0,0.603921615,0.400839162,1.077088909,5.178064046,0.986889994
DMTF1,0.543985738,2.512345919,3.126590935,2.675125462,7.739089472,2.438884561
DMTN,3.928290691,4.508464225,0.161709319,1.310744608,0.868590904,2.149390685
DMWD,1.703987108,3.465740238,2.262181282,2.565769471,12.47175834,2.526447895
DMXL1,0.469962892,1.475867216,2.763986298,2.596571843,6.930857245,0.606421476
DNA2,2.587303589,2.000598937,1.22901269,2.394873157,7.006742199,1.716662152
DNAAF10,1.369041358,0.540499029,0.976738051,0.772662941,7.515664214,2.592588115
DNAAF11,0.322666433,0,0.738817443,0.465076865,2.186586931,0.341411628
DNAAF2,3.517266065,2.984889523,1.547486332,2.934845093,11.6263872,3.62140945
DNAAF3,0,0.565287807,0.1484294,0.227338709,3.464178095,1.922623514
DNAAF4,0.449559559,0.124294463,0.383921642,0.173835576,2.693279339,0.242635254
DNAAF5,1.323454016,2.16218565,1.74660286,2.584873934,7.296909594,-0.00678086
DNAAF9,0.459335801,1.196376565,2.653935026,3.244355478,6.672722911,0.360019225
DNAH1,0.549870109,0.992400946,1.584422537,0.555248833,3.862677237,0.139371784
DNAH10,0.179077228,0.508725645,0.30033396,0.268354065,4.919017856,-0.228795223
DNAH11,0.092797104,0,0.047174678,0.158776798,6.031146031,-0.346055022
DNAH14,0.817724234,0.796827755,0.925536324,0.894157287,8.477340648,-0.11175733
DNAH2,0.711103731,0.129694665,0,0.400322729,6.974402516,-0.002374754
DNAH5,0,0.239530197,0.166587243,0.411563463,3.032708656,0.23588829
DNAH7,0,0.289922021,0.244109371,0.037589793,2.284744461,0.108891198
DNAI2,0.806628618,0.546826119,0,0.310925038,3.620477149,0.534524824
DNAI4,0.215067331,0.307266854,1.069858507,1.132079585,7.3738935,-0.201237416
DNAI7,0,0.419855082,0.543845039,0.163741486,3.214464867,0.046693184
DNAJA1,7.599886584,10.45109254,7.770361176,6.899738677,13.20360904,6.894598675
DNAJA2,2.821055307,5.215317165,3.870168994,5.535809828,10.52727011,5.868930683
DNAJA3,1.839582142,2.934585866,2.215180637,3.962107593,10.15391961,5.743225059
DNAJA4,0.217551003,0.566209982,1.079226668,1.969628336,9.43726587,-0.232977211
DNAJB1,4.151349908,7.479130055,3.287141368,6.280928968,11.26009325,4.21615023
DNAJB11,2.645693074,4.258733009,1.990527735,2.83154652,12.38891133,5.604634559
DNAJB12,1.886456376,3.053340626,3.283871359,4.043156999,8.340873192,0.652052102
DNAJB14,0.412333793,2.246423472,2.955866387,2.185398862,9.416598028,1.119344321
DNAJB2,1.836406353,2.984565794,3.144227675,4.775211062,11.88803198,0.373970716
DNAJB4,2.991779577,4.823305547,3.714799152,2.892892895,9.573502045,2.214724912
DNAJB5,0.628814358,0.343544073,1.644251357,3.954065425,6.633063524,-0.119253227
DNAJB6,1.950193892,3.83301666,2.871334953,4.137694287,11.50979719,4.397255375
DNAJB9,2.264247554,6.935263361,3.854371453,3.867344461,10.82235123,2.662964937
DNAJC1,2.005662741,4.273601788,3.948769733,4.282331255,8.189445352,0.903934623
DNAJC10,2.779505963,4.622000495,3.213585981,3.214219349,9.869126769,1.677279543
DNAJC11,1.510580108,2.152361445,1.841873399,3.044893177,9.489005235,0.757697058
DNAJC13,0.919274505,2.548946378,4.517492503,3.383357967,8.177656643,2.123849087
DNAJC14,0.822175944,1.466811192,2.953513906,3.207036452,7.917323475,2.941897003
DNAJC15,0,0.219529723,3.279512475,3.447587667,11.60430957,-0.038474089
DNAJC16,0.808719663,1.292160091,2.325224751,2.796012456,3.041144903,0.940249231
DNAJC17,0.251697822,0.600234407,1.163339996,2.469751927,4.560874926,1.027420904
DNAJC18,1.313703078,1.22690668,1.56306302,2.250430472,4.281588523,1.242589093
DNAJC19,2.428409831,2.045413762,2.160961546,2.68345511,11.3983216,1.725530724
DNAJC2,2.274770957,2.232771701,1.832337262,1.529172614,11.32399719,1.653190794
DNAJC21,1.447610131,1.510140666,2.276701893,1.9199512,7.706187731,0.188623364
DNAJC22,3.191109027,3.326560144,0.430601549,0.241957085,6.323668164,2.71376322
DNAJC24,1.392724419,1.671294988,1.825573012,1.50937379,6.376371075,2.253412073
DNAJC25,2.356025541,4.708267972,2.149003898,1.777678287,8.439233259,2.877162933
DNAJC27,0.818009606,0.955150228,0.966677679,0.81321189,8.809805293,1.875978292
DNAJC28,1.661193048,0.969389156,0.842805547,0.637363535,1.526006851,-0.266630329
DNAJC3,1.228555318,4.268727032,5.202151236,4.719102647,8.48270815,0.833333952
DNAJC30,2.265148208,1.414418511,2.132982434,2.582008397,8.331057484,1.589963102
DNAJC4,3.500607038,4.110183599,2.109111079,2.518350988,8.577181818,0.211504059
DNAJC6,0.206860021,0.649935001,1.761813358,0.562641507,0.928808997,-0.320838698
DNAJC7,2.516997391,2.768165145,2.254980842,3.255941436,9.460610011,4.164024753
DNAJC8,4.733049946,5.215188284,4.424683263,5.802798038,9.485837831,5.764522383
DNAJC9,1.415098056,2.230058269,1.737689573,3.038996033,11.08162615,6.226232796
DNAL1,1.870459168,1.296322374,1.648294144,1.346874499,9.63115982,-0.0334006
DNAL4,0.527527058,2.327552336,1.896885124,3.684106174,8.297468804,3.162700521
DNALI1,1.139928768,0.917347828,1.699715753,1.018517856,6.564361846,0.000790669
DNASE1,0.466185554,1.604862818,0.906682204,1.135409864,6.749366682,0.296392914
DNASE1L1,1.621495583,2.91007631,2.971043534,3.019246048,10.52617456,0.147546418
DNASE1L2,0.574287539,1.058589045,0.407269154,0.393907291,5.391804042,-0.147265153
DNASE2,3.504933066,4.7782006,4.091875391,4.411749394,2.905196509,4.266704473
DND1,0,0,0,0,10.81129682,-0.612511725
DNER,0,0.681889204,3.951307836,1.865363074,3.618748,1.03747472
DNHD1,0.076765266,1.486524637,1.259723623,0.585773518,5.367993734,0.298521067
DNLZ,0.758996268,0,0.230437517,0.138853356,9.302492153,4.030860615
DNM1,2.92359462,4.327986708,0.501961683,0.267728895,7.344995611,2.932188574
DNM1L,2.985507047,3.766399919,3.766192494,4.472422075,8.77570277,3.936405699
DNM2,0.891431005,1.907012608,2.402732973,4.079224755,5.474743619,1.825063903
DNM3,0,0.123138365,0.461954825,0.497878641,2.408104507,0.278897788
DNMBP,1.007873417,3.536574488,3.699517769,3.205498454,7.988900286,-0.183633765
DNMT1,1.217426813,2.235024769,2.429131639,2.940643516,7.547810735,6.039833248
DNMT3A,0.552919197,1.238822372,1.216716615,1.838483149,5.123487874,-0.10653841
DNMT3B,0.209156409,0.757928832,0.528392627,1.318178749,8.443343115,0.360227996
DNPEP,2.467855331,3.430340556,3.645276444,4.5544275,8.036485691,1.606940665
DNPH1,6.829005723,6.168286622,3.446172611,5.010501222,9.868520151,-0.003898907
DNTTIP1,3.266531931,4.133574765,2.185054263,3.883479353,12.03711252,3.352991941
DNTTIP2,2.145529088,3.657944005,2.572836214,3.113441363,12.11180742,0.8315573
DOCK1,1.913350125,3.610964936,3.904481134,4.062168214,4.980023433,2.252748378
DOCK10,0.123202302,1.771137389,3.983982297,0.823890429,4.656062049,4.998837802
DOCK3,0.161289626,0.120784052,0.306526365,0.254993011,4.863688747,-0.11692806
DOCK5,1.384168691,2.785388516,3.358053604,3.802327859,7.956645361,2.5023608
DOCK6,1.139852982,1.298522474,1.428598048,2.595355453,6.683307657,0.891197438
DOCK7,0.601401974,1.30079099,2.906473208,2.762097445,7.168648263,-0.221271083
DOCK8,0.279707439,0.055872049,0.135040368,0.129170932,2.857859815,-0.257350728
DOCK9,0.192086445,1.72815909,2.468969216,3.383979342,2.327881381,1.145820511
DOHH,1.596019641,2.082712765,1.887211091,2.553677042,3.370759716,1.271381092
DOK1,1.340553079,1.154224348,3.039161904,2.129912633,4.223104213,0.072497008
DOK3,1.801005195,2.372426239,0.53496317,0.19538975,10.55912882,-0.290825402
DOK4,3.349050996,4.880755982,2.740264467,3.28970279,5.971290955,2.983693672
DOK7,0,0.258486378,0.340237831,1.133989825,2.378912965,0.26052747
DOLK,2.036816514,2.829767111,3.437466164,3.608954625,7.979367841,3.633696242
DOLPP1,2.273406512,2.657186463,1.695246971,3.963965666,8.783079365,3.449619477
DONSON,2.70036365,3.165097825,2.073895031,2.139619547,8.732367153,1.43229926
DOP1A,0,0.900914378,2.446947657,2.287956002,5.173481846,0.802828153
DOP1B,0.439773752,0.524579149,2.980887237,2.455911626,4.202437485,0.261094144
DOT1L,1.318499095,1.936004636,1.147122196,1.6417037,5.696799832,0.345152329
DPAGT1,1.584429568,3.288681078,1.917639151,2.577396815,6.812778167,2.864858147
DPCD,3.774800252,3.649878295,3.089451259,4.513987256,9.799736818,2.488333504
DPEP3,0,0.204003342,0,0.05106422,11.78717443,-0.186331237
DPF2,1.581099538,2.474032614,2.200286878,2.743630746,11.12395024,4.086671688
DPF3,0,0,1.054227412,0.286657512,2.245445769,-0.313253692
DPH2,1.676598953,4.4108779,2.040563897,3.528083524,10.46207354,0.844768584
DPH3,4.051215328,4.149726098,2.902102375,3.327312131,10.80157524,2.663835373
DPH5,2.904855779,2.454266199,1.456103994,3.135288653,10.37179094,3.475141373
DPH7,1.33611469,1.879727101,1.717448721,2.684600902,8.129054938,0.912364133
DPM1,1.511137593,1.921808984,2.142019449,2.527544642,11.96485468,5.896306316
DPM2,3.920596208,2.992924379,3.147701993,3.784903678,9.881231369,2.447735756
DPM3,4.837669044,6.052235882,4.072076645,4.60022871,9.582509652,3.762383557
DPP3,2.172027732,3.522021359,3.314993223,5.58871561,7.849842636,1.91123944
DPP4,0.10343797,0.242348466,3.988755016,0.475599535,2.278848216,0.241251517
DPP7,4.15355181,5.612715227,4.353850629,4.185546493,8.565788148,1.667450029
DPP8,1.978781599,3.83938663,2.927020651,2.886768534,12.18284158,-0.190383935
DPP9,1.850430394,2.953397846,2.115083842,4.241156387,4.966428904,3.3320955
DPT,0,0,2.079410172,0,4.240025884,0
DPY19L1,3.372131276,4.806731555,2.712430365,2.323577374,8.060842348,5.069390947
DPY19L2,0.252397421,1.121808293,0.213408655,0.063005294,4.599501008,0.14510535
DPY19L2P2,0.22340349,0.114275097,0.942431029,0.055342582,2.528612506,-0.076786178
DPY19L3,1.882280383,2.724067863,1.952653848,0.697308825,2.348068214,0.566628515
DPY19L4,2.20409864,3.73939633,3.375250538,2.986129142,9.707109867,3.195102272
DPY30,5.277683377,4.594143118,2.944233265,4.473121825,13.23105013,1.52448219
DPYD,0.379472666,1.670905925,4.739615662,2.680138047,2.155657013,1.150103466
DPYSL2,2.131495543,4.036821457,6.502611885,4.717534035,10.37180193,6.764871458
DPYSL3,1.134496001,3.483598092,5.895758536,3.823965271,9.491327299,4.030280012
DPYSL4,1.024648437,1.755294861,1.215786397,0.380640725,3.800737726,3.58707006
DQX1,1.691980324,3.73907772,1.516203836,2.966299486,5.183304673,0.039015251
DR1,1.186808219,1.772452394,2.429943485,3.479067394,8.432372965,3.108799588
DRAM1,3.538349383,5.588023668,6.15564758,3.639094559,10.18908831,3.485229087
DRAM2,3.968132489,4.484861648,2.732660953,4.117898437,9.516170517,2.491571788
DRAP1,6.400482658,5.776337292,6.852940256,7.244645205,12.32391803,5.530029841
DRAXIN,0.196170887,0,0.165374141,0.048248078,5.322625727,-0.347383511
DRC1,0,1.255543565,0.371688859,0.294289905,4.54248773,-0.214504521
DRD2,0,0.089661945,0.231213271,0.02177771,10.88184817,-0.17943815
DRD3,0.73113443,0,0,0.054532362,4.401570579,-0.32979328
DRD4,1.280579482,0,0.308456847,0,16.38868686,0.702871339
DRD5,0,0,0,0.037529062,1.840916081,-0.374483436
DRG1,3.427746111,3.619370492,4.325271623,5.777253208,11.18109097,4.867387231
DRG2,1.851181232,2.43859857,1.936259265,3.044034886,8.368164947,3.34686359
DRICH1,0,0.491091117,0,0.067767908,9.94875714,-0.314236887
DROSHA,1.481316152,3.2241869,2.571140172,2.806256856,10.24223384,0.190041486
DSC2,0.118774641,0.74480561,0.040713849,4.269636065,5.220534843,0.256310063
DSC3,0.639083248,1.159873001,0.033141127,5.629321754,3.627124753,0.319225406
DSCC1,2.006969067,1.487735232,1.4084611,2.240733863,6.166751856,1.688465154
DSE,0.223629911,1.17093244,2.321547158,3.916790467,11.54139968,-0.348792038
DSEL,0,0.040527316,2.998090713,0.883410186,1.364666181,-0.04156605
DSG2,2.018422643,4.924517452,0.271818722,5.842081036,6.723011172,2.136316747
DSG3,0,0,0,6.662285777,2.645285585,-0.403483276
DSN1,1.744126857,2.699034347,2.782118966,3.106506753,11.36074663,3.422286159
DSP,0.851320855,4.817116503,2.775535581,7.414072999,11.11170494,-0.087811394
DST,0.209115966,1.979888169,4.786436588,4.702210333,6.275495901,0.297775072
DSTN,8.774384906,8.720249748,6.705851303,7.520065955,12.88382443,1.63050185
DSTYK,0.707422476,1.81682328,2.544523846,3.117151764,9.207848253,1.399133327
DTD1,2.973628652,3.335284861,1.575210021,3.085031118,3.724318484,3.860760131
DTD2,0.785017638,0.698500166,1.255118794,1.879831369,3.907816937,2.524936929
DTL,1.063169685,1.941861951,2.507913565,2.760148926,9.317952891,3.522805284
DTNA,0,0.026127528,1.138405726,1.025773289,2.987119498,-0.031914134
DTNB,1.322605238,1.634907643,1.036682295,3.065128268,7.512898211,0.464026334
DTNBP1,1.040218046,1.088590141,1.303557578,1.56216378,5.994509041,0.229574557
DTWD1,0.363047647,0.358013023,2.640939726,0.73096964,6.022001634,-0.051081644
DTWD2,0,0.580091856,1.370536712,1.047744229,2.800424573,0.29592114
DTX2,0.888337795,2.500750339,0.648677284,3.494514785,2.049160356,0.150847542
DTX3,2.581843084,3.435349132,2.732681137,1.767843614,10.7294684,1.313678711
DTX3L,0.639642595,6.218323918,6.410867644,6.440819973,5.623538067,0.14510535
DTX4,0,1.235231963,0.638039717,3.460277527,1.273982229,-0.564932806
DTYMK,5.88584036,5.481743927,2.371896935,4.699296923,11.1702978,-0.046989741
DUOXA1,0,0,0.19434112,3.754896634,5.770666012,-0.550959965
DUS1L,4.292578369,4.182843927,2.166473809,3.830364805,10.30245472,2.080560457
DUS2,1.484707269,1.436807183,1.417497441,3.64428889,7.352996541,3.306821154
DUS3L,2.442021487,1.567578808,1.446501899,2.8294945,9.898071611,3.200791207
DUS4L,0.257148666,0.782594738,0.723168695,0.845790092,4.131768121,3.169134027
DUSP1,4.086373114,7.219723832,4.794492007,6.017927611,10.82159498,6.366983429
DUSP10,0,2.093662,1.535327565,5.033027491,9.367996921,0.116936797
DUSP11,1.160471581,1.58800692,2.247783663,4.20667822,6.376971403,2.654272077
DUSP12,2.218134131,3.444695476,2.673871663,3.653682834,10.82981811,5.526739597
DUSP13B,0.525534617,0.148148491,0.102042741,0.174103918,5.441937948,-0.101049359
DUSP14,2.747979071,3.118474467,3.842988613,4.908667529,11.74938031,4.079017072
DUSP15,0.659080815,0.439629038,0.195175141,0.071354911,13.32173973,-0.07307602
DUSP16,1.83066291,4.326416486,2.476501901,4.126896762,9.324858603,1.0926644
DUSP18,0,0.16185563,1.115493176,1.493877152,8.834352692,-0.158626468
DUSP2,0.637945257,0.86481436,0.127957372,0.440501809,8.556919866,0.032069943
DUSP23,6.227611144,4.878212758,3.302989095,5.746829487,11.81845959,5.30576176
